euroc_mh4_752/500/1 : {'above_tracked': 2032, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/500/2 : {'above_tracked': 1910, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/500/3 : {'above_tracked': 1979, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/750/1 : {'above_tracked': 2033, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/750/2 : {'above_tracked': 2033, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/750/3 : {'above_tracked': 2033, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/1000/1 : {'above_tracked': 2032, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/1000/2 : {'above_tracked': 2032, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/1000/3 : {'above_tracked': 2032, 'above_total': 2033, 'below_tracked': 0, 'below_total': 0}
euroc_mh4_752/1250/1 : {'above_tracked': 1991, 'above_total': 1991, 'below_tracked': 42, 'below_total': 42}
euroc_mh4_752/1250/2 : {'above_tracked': 1991, 'above_total': 1991, 'below_tracked': 42, 'below_total': 42}
euroc_mh4_752/1250/3 : {'above_tracked': 1991, 'above_total': 1991, 'below_tracked': 42, 'below_total': 42}
euroc_mh4_752/2500/1 : {'above_tracked': 1865, 'above_total': 1865, 'below_tracked': 168, 'below_total': 168}
euroc_mh4_752/2500/2 : {'above_tracked': 1865, 'above_total': 1865, 'below_tracked': 168, 'below_total': 168}
euroc_mh4_752/2500/3 : {'above_tracked': 1865, 'above_total': 1865, 'below_tracked': 168, 'below_total': 168}
euroc_mh4_752/5000/1 : {'above_tracked': 1607, 'above_total': 1619, 'below_tracked': 414, 'below_total': 414}
euroc_mh4_752/5000/2 : {'above_tracked': 1557, 'above_total': 1619, 'below_tracked': 414, 'below_total': 414}
euroc_mh4_752/5000/3 : {'above_tracked': 1619, 'above_total': 1619, 'below_tracked': 414, 'below_total': 414}
euroc_mh4_752/10000/1 : {'above_tracked': 890, 'above_total': 908, 'below_tracked': 1020, 'below_total': 1125}
euroc_mh4_752/10000/2 : {'above_tracked': 896, 'above_total': 908, 'below_tracked': 1075, 'below_total': 1125}
euroc_mh4_752/10000/3 : {'above_tracked': 908, 'above_total': 908, 'below_tracked': 1045, 'below_total': 1125}
euroc_mh5_752/500/1 : {'above_tracked': 2273, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/500/2 : {'above_tracked': 2247, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/500/3 : {'above_tracked': 2246, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/750/1 : {'above_tracked': 2252, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/750/2 : {'above_tracked': 2273, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/750/3 : {'above_tracked': 2253, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/1000/1 : {'above_tracked': 2272, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/1000/2 : {'above_tracked': 2272, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/1000/3 : {'above_tracked': 2272, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/1250/1 : {'above_tracked': 2273, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/1250/2 : {'above_tracked': 2273, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/1250/3 : {'above_tracked': 2273, 'above_total': 2273, 'below_tracked': 0, 'below_total': 0}
euroc_mh5_752/2500/1 : {'above_tracked': 2068, 'above_total': 2068, 'below_tracked': 205, 'below_total': 205}
euroc_mh5_752/2500/2 : {'above_tracked': 2068, 'above_total': 2068, 'below_tracked': 205, 'below_total': 205}
euroc_mh5_752/2500/3 : {'above_tracked': 2068, 'above_total': 2068, 'below_tracked': 205, 'below_total': 205}
euroc_mh5_752/5000/1 : {'above_tracked': 1840, 'above_total': 1858, 'below_tracked': 356, 'below_total': 415}
euroc_mh5_752/5000/2 : {'above_tracked': 1805, 'above_total': 1852, 'below_tracked': 421, 'below_total': 421}
euroc_mh5_752/5000/3 : {'above_tracked': 1836, 'above_total': 1852, 'below_tracked': 421, 'below_total': 421}
euroc_mh5_752/10000/1 : {'above_tracked': 1000, 'above_total': 1000, 'below_tracked': 1273, 'below_total': 1273}
euroc_mh5_752/10000/2 : {'above_tracked': 1000, 'above_total': 1000, 'below_tracked': 1216, 'below_total': 1273}
euroc_mh5_752/10000/3 : {'above_tracked': 1000, 'above_total': 1000, 'below_tracked': 1273, 'below_total': 1273}
euroc_v101_752/500/1 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/500/2 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/500/3 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/750/1 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/750/2 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/750/3 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/1000/1 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/1000/2 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/1000/3 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/1250/1 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/1250/2 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/1250/3 : {'above_tracked': 2912, 'above_total': 2912, 'below_tracked': 0, 'below_total': 0}
euroc_v101_752/2500/1 : {'above_tracked': 2809, 'above_total': 2809, 'below_tracked': 103, 'below_total': 103}
euroc_v101_752/2500/2 : {'above_tracked': 2809, 'above_total': 2809, 'below_tracked': 103, 'below_total': 103}
euroc_v101_752/2500/3 : {'above_tracked': 2809, 'above_total': 2809, 'below_tracked': 103, 'below_total': 103}
euroc_v101_752/5000/1 : {'above_tracked': 2454, 'above_total': 2454, 'below_tracked': 458, 'below_total': 458}
euroc_v101_752/5000/2 : {'above_tracked': 2454, 'above_total': 2454, 'below_tracked': 458, 'below_total': 458}
